Name,Rank,Sport,%  off  Field Earning,% on Fireld Earning,Off-the-Field Earnings,On-the-Field Earnings,Total Earnings,Imagen
Cristiano Ronaldo,1,Soccer,66%,34%,90000000,46000000,136000000,https://www.footyrenders.com/render/cristiano-ronaldo-468.png
Lionel Messi,2,Soccer,50%,50%,65000000,65000000,130000000,https://www.footyrenders.com/render/lionel-messi-409.png
Kylian Mbappé,3,Soccer,17%,83%,20000000,100000000,120000000,https://www.footyrenders.com/render/kylian-mbappe-166.png
LeBron James,4,Basketball,63%,37%,75000000,45000000,120000000,https://www.nicepng.com/png/full/17-171304_lebron-james-png-photo-lebron-james-transparent.png
Canelo Alvarez,5,Boxing,9%,91%,10000000,100000000,110000000,https://www.nicepng.com/png/full/201-2016363_canelo-png-canelo.png
Dustin Johnson,6,Golf,5%,95%,5000000,102000000,107000000,https://www.theopen.com/-/media/images/player-profile-cut-outs/2022/a-l_0054_dustin-johnson.png
phil-mickelson,7,Golf,2%,98%,2000000,104000000,106000000,https://www.theopen.com/-/media/images/player-profile-cut-outs/2022/cutouts_0006_phil-mickelson.png
Stephen Curry,8,Basketball,52%,48%,52000000,48000000,100000000,https://www.nicepng.com/png/full/241-2419786_steph-curry-shooting-stance-stephen-curry-with-mouthpiece.png
Roger Federer,9,Tennis,100%,0%,95000000,0,95000000,https://www.nicepng.com/png/full/234-2341768_roger-federer-png-file-download-free-roger-federer.png
Kevin Durant,10,Basketball,51%,49%,45000000,44000000,89000000,https://www.nicepng.com/png/full/17-172126_kevin-durant-png-transparent-image-.png
Giannis Antetokounmpo,11,Basketball,51%,49%,45000000,43000000,88000000,https://www.nicepng.com/png/full/241-2419837_1ckgnoa-giannis-antetokounmpo-transparent.png
Neymar,12,Soccer,41%,59%,35000000,50000000,85000000,https://www.footyrenders.com/render/neymar-202.png
Russell Wilson,12,Football,15%,85%,13000000,72000000,85000000,https://www.nicepng.com/png/full/302-3022698_flashback-week-16-sea-russell-wilson-no-background.png
Russell Westbrook,14,Basketball,43%,57%,35000000,47000000,82000000,https://www.nicepng.com/png/full/128-1283688_russell-westbrook-winning-russell-westbrook-png.png
Rory McIlroy,15,Golf,50%,50%,40000000,41000000,81000000,https://www.theopen.com/-/media/images/player-profile-cut-outs/2022/m-z_0002_rory-mcilroy.png
Tiger Woods,16,Golf,80%,20%,60000000,15000000,75000000,https://www.nicepng.com/png/full/191-1918439_tiger-woods-png-clipart-tiger-woods-white-background.png
Cameron Smith,17,Golf,8%,92%,6000000,67000000,73000000,https://www.theopen.com/-/media/images/player-profile-cut-outs/2022/cameron_smith_champion_golfer.png
Brooks Koepka,18,Golf,8%,92%,6000000,66000000,72000000,https://www.theopen.com/-/media/images/player-profile-cut-outs/2019/koepka-brooks-1.png
Kyler Murray,19,Football,5%,95%,4000000,67000000,71000000,https://b.fssta.com/uploads/application/nfl/headshots/14853.png
Bryson DeChambeau,20,Golf,1%,99%,1000000,68000000,69000000,https://www.theopen.com/-/media/images/player-profile-cut-outs/2022/a-l_0021_bryson-dechambeau.png
Lewis Hamilton,21,Auto Racing,15%,85%,10000000,55000000,65000000,https://www.nicepng.com/png/full/344-3443172_driver-img-lewis-hamilton.png
Max Verstappen,22,Auto Racing,6%,94%,4000000,60000000,64000000,https://soymotor.com/sites/default/files/2024-02/max-verstappen-2024.png
Klay Thompson,23,Basketball,33%,67%,20000000,41000000,61000000,https://www.nicepng.com/png/full/119-1195217_klay-thompson-no-background.png
Patrick Mahomes,24,Football,34%,66%,20000000,39000000,59000000,https://pnghq.com/wp-content/uploads/patrick-mahomes-png-free-image-png-69671.png
Damian Lillard,25,Basketball,27%,73%,16000000,43000000,59000000,https://www.nicepng.com/png/full/869-8694084_damian-lillard-photo-lillard-zpsyqnbi4ls-basketball-moves.png
Max Scherzer,26,Baseball,2%,98%,1000000,56000000,57000000,https://b.fssta.com/uploads/application/mlb/headshots/4357.png
James Harden,27,Basketball,40%,60%,22000000,33000000,55000000,https://www.nicepng.com/png/full/93-937000_james-harden-png-houston-rockets-james-harden-red.png
